ALG,GATES,PLANES,TIME
FCFS,6,23,173.5384615
FCFS,8,11,109.875
FCFS,5,17,144.1176471
FCFS,8,9,100.4615385
FCFS,8,23,170.9047619
FCFS,4,10,107.5
FCFS,9,3,56.63157895
FCFS,3,13,125.9166667
FCFS,5,3,55.33333333
FCFS,7,10,112.3333333
FCFS,5,7,87
FCFS,2,5,77.5
FCFS,8,19,152.6190476
FCFS,9,22,171.25
FCFS,5,12,109.1666667
FCFS,5,18,145.3333333
FCFS,7,10,102.0952381
FCFS,7,12,112.8333333
FCFS,4,1,38
FCFS,3,6,80.75
FCFS,3,14,131.5714286
FCFS,1,12,105.5
FCFS,7,8,93.11111111
FCFS,6,17,141.5294118
FCFS,3,16,138.4285714
FCFS,1,7,60
FCFS,4,24,182.2222222
FCFS,9,6,89
FCFS,8,19,154
FCFS,2,9,106.1428571
FCFS,6,14,126.8333333
FCFS,3,21,173.3333333
FCFS,1,13,100.3333333
FCFS,4,19,158.1818182
FCFS,7,5,72.94736842
FCFS,8,17,140.6666667
FCFS,7,5,69
FCFS,3,14,136.4444444
FCFS,4,7,92.86956522
FCFS,7,18,146.875
FCFS,9,12,116.5714286
FCFS,2,24,170.8666667
FCFS,8,3,64
FCFS,7,11,107.3913043
FCFS,2,7,135
FCFS,1,6,75.41666667
FCFS,1,22,151
FCFS,2,10,114.4583333
FCFS,9,9,98.5
FCFS,6,14,133.1111111
FCFS,8,7,86
FCFS,3,5,76.375
FCFS,2,5,84.54545455
FCFS,6,2,48.92307692
FCFS,7,13,122.5833333
FCFS,3,9,100
FCFS,1,23,152
FCFS,8,1,45
FCFS,1,7,81.93333333
FCFS,6,5,73.42105263
FCFS,5,17,142
FCFS,2,23,166.5
FCFS,1,17,124.9583333
FCFS,1,13,108.4347826
FCFS,8,19,154.7142857
FCFS,8,24,173.4615385
FCFS,1,10,98.81818182
FCFS,6,8,93.23529412
FCFS,3,17,142.2857143
FCFS,8,18,144.2083333
FCFS,1,17,126.2
FCFS,4,9,98.06666667
FCFS,6,18,153
FCFS,6,1,40.46666667
FCFS,4,2,47.6
FCFS,3,10,105.2608696
FCFS,3,2,46.47826087
FCFS,8,8,98.57142857
FCFS,4,13,126
FCFS,3,17,144
FCFS,9,1,45.13636364
FCFS,8,19,153.5
FCFS,4,7,79.5
FCFS,3,12,120.0769231
FCFS,4,21,172.4285714
FCFS,3,12,119.4
FCFS,3,15,132.2
FCFS,6,1,40.625
FCFS,4,22,170.9333333
FCFS,8,1,43.83333333
FCFS,1,3,59.33333333
FCFS,1,17,125
FCFS,3,24,174.9375
FCFS,2,22,168.6428571
FCFS,6,11,110.0952381
FCFS,5,24,179
FCFS,1,5,67.8
FCFS,1,19,145.6666667
FCFS,9,23,171.0434783
FCFS,8,16,141
FCFS,3,20,165.8333333
FCFS,4,13,127.2142857
FCFS,2,23,171.8
FCFS,5,18,148.5555556
FCFS,7,15,128.0416667
FCFS,9,9,93
FCFS,3,9,103.9
FCFS,8,17,146.9
